1
exp/gaea_Peru.json;1248
ARGS
exp/gaea_Peru.json
using the following metadata file:
exp/gaea_Peru.json
number of jobs submitted:
1248
8 total processes killed (some possibly by mpirun during cleanup)
1
exp/gaea_Peru.json;1248
ARGS
exp/gaea_Peru.json
using the following metadata file:
exp/gaea_Peru.json
number of jobs submitted:
1248
numjob = 1242, jobid = 1242, nphotons = 100000, cosz = -0.1, simulation time = 6.44297308921814 minutes
numjob = 1236, jobid = 1236, nphotons = 100000, cosz = -0.1, simulation time = 10.777685336271922 minutes
numjob = 1243, jobid = 1243, nphotons = 100000, cosz = -0.25, simulation time = 12.291224058469137 minutes
numjob = 1230, jobid = 1230, nphotons = 100000, cosz = -0.1, simulation time = 13.984384441375733 minutes
numjob = 1224, jobid = 1224, nphotons = 100000, cosz = -0.1, simulation time = 15.46580360730489 minutes
numjob = 1206, jobid = 1206, nphotons = 100000, cosz = -0.1, simulation time = 16.191243668397266 minutes
numjob = 1212, jobid = 1212, nphotons = 100000, cosz = -0.1, simulation time = 16.207709721724193 minutes
numjob = 1218, jobid = 1218, nphotons = 100000, cosz = -0.1, simulation time = 16.23751096725464 minutes
numjob = 1200, jobid = 1200, nphotons = 100000, cosz = -0.1, simulation time = 16.526428735256196 minutes
numjob = 1244, jobid = 1244, nphotons = 100000, cosz = -0.4, simulation time = 16.530508402983347 minutes
numjob = 1194, jobid = 1194, nphotons = 100000, cosz = -0.1, simulation time = 17.18572698434194 minutes
numjob = 1237, jobid = 1237, nphotons = 100000, cosz = -0.25, simulation time = 17.665064108371734 minutes
numjob = 1188, jobid = 1188, nphotons = 100000, cosz = -0.1, simulation time = 17.99773016770681 minutes
numjob = 1245, jobid = 1245, nphotons = 100000, cosz = -0.55, simulation time = 19.007143584887185 minutes
numjob = 1182, jobid = 1182, nphotons = 100000, cosz = -0.1, simulation time = 19.12652252117793 minutes
numjob = 1246, jobid = 1246, nphotons = 100000, cosz = -0.7, simulation time = 20.446850736935932 minutes
numjob = 1238, jobid = 1238, nphotons = 100000, cosz = -0.4, simulation time = 21.063104061285653 minutes
numjob = 1231, jobid = 1231, nphotons = 100000, cosz = -0.25, simulation time = 21.300698041915894 minutes
numjob = 1176, jobid = 1176, nphotons = 100000, cosz = -0.1, simulation time = 21.475584975878398 minutes
numjob = 1247, jobid = 1247, nphotons = 100000, cosz = -0.85, simulation time = 21.842939575513203 minutes
numjob = 1225, jobid = 1225, nphotons = 100000, cosz = -0.25, simulation time = 22.409281873703 minutes
numjob = 1239, jobid = 1239, nphotons = 100000, cosz = -0.55, simulation time = 22.825688282648724 minutes
numjob = 1207, jobid = 1207, nphotons = 100000, cosz = -0.25, simulation time = 23.385415009657542 minutes
numjob = 1213, jobid = 1213, nphotons = 100000, cosz = -0.25, simulation time = 23.38550049463908 minutes
numjob = 1219, jobid = 1219, nphotons = 100000, cosz = -0.25, simulation time = 23.387731850147247 minutes
numjob = 1201, jobid = 1201, nphotons = 100000, cosz = -0.25, simulation time = 23.553457407156625 minutes
numjob = 1240, jobid = 1240, nphotons = 100000, cosz = -0.7, simulation time = 23.725924706459047 minutes
numjob = 1195, jobid = 1195, nphotons = 100000, cosz = -0.25, simulation time = 23.884328925609587 minutes
numjob = 1232, jobid = 1232, nphotons = 100000, cosz = -0.4, simulation time = 23.926819610595704 minutes
numjob = 1170, jobid = 1170, nphotons = 100000, cosz = -0.1, simulation time = 24.02525565226873 minutes
numjob = 1241, jobid = 1241, nphotons = 100000, cosz = -0.85, simulation time = 24.433986667792002 minutes
numjob = 1189, jobid = 1189, nphotons = 100000, cosz = -0.25, simulation time = 24.519017656644184 minutes
numjob = 1226, jobid = 1226, nphotons = 100000, cosz = -0.4, simulation time = 24.995036141077676 minutes
numjob = 1183, jobid = 1183, nphotons = 100000, cosz = -0.25, simulation time = 25.00948579708735 minutes
numjob = 1233, jobid = 1233, nphotons = 100000, cosz = -0.55, simulation time = 25.05475896994273 minutes
numjob = 1220, jobid = 1220, nphotons = 100000, cosz = -0.4, simulation time = 25.24501416683197 minutes
numjob = 1202, jobid = 1202, nphotons = 100000, cosz = -0.4, simulation time = 25.360460392634074 minutes
numjob = 1208, jobid = 1208, nphotons = 100000, cosz = -0.4, simulation time = 25.433519681294758 minutes
numjob = 1234, jobid = 1234, nphotons = 100000, cosz = -0.7, simulation time = 25.628786738713583 minutes
numjob = 1214, jobid = 1214, nphotons = 100000, cosz = -0.4, simulation time = 25.653788753350575 minutes
