1
exp/gaea_Peru_recoverjobs.json;643
ARGS
exp/gaea_Peru_recoverjobs.json
using the following metadata file:
exp/gaea_Peru_recoverjobs.json
number of jobs submitted:
643
numjob = 217, jobid = 297, nphotons = 100, cosz = -0.1, simulation time = 0.9884233633677165 minutes
numjob = 240, jobid = 320, nphotons = 100, cosz = -0.4, simulation time = 0.9885498523712158 minutes
numjob = 490, jobid = 747, nphotons = 100, cosz = -0.4, simulation time = 0.9884338736534118 minutes
numjob = 367, jobid = 549, nphotons = 100, cosz = -0.55, simulation time = 0.9885138630867004 minutes
numjob = 545, jobid = 826, nphotons = 100, cosz = -0.4, simulation time = 0.9885826269785564 minutes
numjob = 214, jobid = 294, nphotons = 100, cosz = -0.1, simulation time = 0.9885711828867595 minutes
numjob = 423, jobid = 632, nphotons = 100, cosz = -0.7, simulation time = 0.9884243369102478 minutes
numjob = 424, jobid = 633, nphotons = 100, cosz = -0.7, simulation time = 0.9885679642359416 minutes
numjob = 116, jobid = 160, nphotons = 100, cosz = -0.25, simulation time = 0.9878852009773255 minutes
numjob = 321, jobid = 470, nphotons = 100, cosz = -0.55, simulation time = 0.9885453303654989 minutes
numjob = 536, jobid = 817, nphotons = 100, cosz = -0.4, simulation time = 0.9885650237401327 minutes
numjob = 548, jobid = 829, nphotons = 100, cosz = -0.55, simulation time = 0.988474980990092 minutes
numjob = 139, jobid = 183, nphotons = 100, cosz = -0.55, simulation time = 0.9885808149973552 minutes
numjob = 540, jobid = 821, nphotons = 100, cosz = -0.4, simulation time = 0.9886573473612468 minutes
numjob = 303, jobid = 452, nphotons = 100, cosz = -0.25, simulation time = 0.9886529008547466 minutes
numjob = 44, jobid = 44, nphotons = 100, cosz = -0.55, simulation time = 0.9887450655301412 minutes
numjob = 246, jobid = 326, nphotons = 100, cosz = -0.55, simulation time = 0.9887412786483765 minutes
numjob = 275, jobid = 390, nphotons = 100, cosz = -0.4, simulation time = 0.9889185031255087 minutes
numjob = 517, jobid = 775, nphotons = 100, cosz = -0.7, simulation time = 0.9888737440109253 minutes
numjob = 215, jobid = 295, nphotons = 100, cosz = -0.1, simulation time = 0.9891580979029337 minutes
numjob = 407, jobid = 616, nphotons = 100, cosz = -0.55, simulation time = 0.9892452120780945 minutes
numjob = 305, jobid = 454, nphotons = 100, cosz = -0.25, simulation time = 0.9884356776873271 minutes
numjob = 129, jobid = 173, nphotons = 100, cosz = -0.4, simulation time = 0.9892661809921265 minutes
numjob = 197, jobid = 260, nphotons = 100, cosz = -0.55, simulation time = 0.9893415013949076 minutes
numjob = 518, jobid = 776, nphotons = 100, cosz = -0.7, simulation time = 0.9893109838167826 minutes
numjob = 273, jobid = 388, nphotons = 100, cosz = -0.4, simulation time = 0.9892637848854064 minutes
numjob = 98, jobid = 120, nphotons = 100, cosz = -0.7, simulation time = 0.9893244981765748 minutes
numjob = 434, jobid = 667, nphotons = 100, cosz = -0.25, simulation time = 0.9891344388326009 minutes
numjob = 609, jobid = 920, nphotons = 100, cosz = -0.7, simulation time = 0.988638949394226 minutes
numjob = 182, jobid = 245, nphotons = 100, cosz = -0.4, simulation time = 0.9895988861719768 minutes
numjob = 80, jobid = 102, nphotons = 100, cosz = -0.4, simulation time = 0.9895806272824605 minutes
numjob = 236, jobid = 316, nphotons = 100, cosz = -0.4, simulation time = 0.9895618279774984 minutes
numjob = 325, jobid = 474, nphotons = 100, cosz = -0.55, simulation time = 0.9897199114163716 minutes
numjob = 199, jobid = 262, nphotons = 100, cosz = -0.55, simulation time = 0.9899332125981649 minutes
numjob = 77, jobid = 99, nphotons = 100, cosz = -0.4, simulation time = 0.9897699117660522 minutes
numjob = 488, jobid = 745, nphotons = 100, cosz = -0.4, simulation time = 0.9895525852839152 minutes
numjob = 295, jobid = 444, nphotons = 100, cosz = -0.25, simulation time = 0.98969753185908 minutes
numjob = 479, jobid = 736, nphotons = 100, cosz = -0.25, simulation time = 0.9895133137702942 minutes
numjob = 320, jobid = 469, nphotons = 100, cosz = -0.55, simulation time = 0.9896756410598755 minutes
numjob = 145, jobid = 189, nphotons = 100, cosz = -0.55, simulation time = 0.9887307325998942 minutes
numjob = 449, jobid = 682, nphotons = 100, cosz = -0.4, simulation time = 0.989522393544515 minutes
numjob = 409, jobid = 618, nphotons = 100, cosz = -0.55, simulation time = 0.9898413062095642 minutes
numjob = 148, jobid = 193, nphotons = 100, cosz = -0.7, simulation time = 0.9894559105237325 minutes
numjob = 539, jobid = 820, nphotons = 100, cosz = -0.4, simulation time = 0.989912192026774 minutes
numjob = 48, jobid = 50, nphotons = 100, cosz = -0.7, simulation time = 0.9899047056833903 minutes
numjob = 95, jobid = 117, nphotons = 100, cosz = -0.55, simulation time = 0.9899041493733723 minutes
numjob = 91, jobid = 113, nphotons = 100, cosz = -0.55, simulation time = 0.9900893489519755 minutes
numjob = 433, jobid = 666, nphotons = 100, cosz = -0.25, simulation time = 0.9896968642870585 minutes
numjob = 507, jobid = 764, nphotons = 100, cosz = -0.55, simulation time = 0.9901779850323995 minutes
numjob = 538, jobid = 819, nphotons = 100, cosz = -0.4, simulation time = 0.989930260181427 minutes
numjob = 528, jobid = 809, nphotons = 100, cosz = -0.25, simulation time = 0.9900134722391765 minutes
numjob = 583, jobid = 890, nphotons = 100, cosz = -0.4, simulation time = 0.9900441606839497 minutes
numjob = 588, jobid = 895, nphotons = 100, cosz = -0.4, simulation time = 0.9898981014887492 minutes
numjob = 299, jobid = 448, nphotons = 100, cosz = -0.25, simulation time = 0.9900797963142395 minutes
numjob = 606, jobid = 913, nphotons = 100, cosz = -0.7, simulation time = 0.9901858806610108 minutes
numjob = 261, jobid = 376, nphotons = 100, cosz = -0.25, simulation time = 0.990079669157664 minutes
numjob = 149, jobid = 194, nphotons = 100, cosz = -0.7, simulation time = 0.990007217725118 minutes
numjob = 396, jobid = 605, nphotons = 100, cosz = -0.4, simulation time = 0.9903649727503459 minutes
numjob = 464, jobid = 697, nphotons = 100, cosz = -0.7, simulation time = 0.9900927305221557 minutes
numjob = 17, jobid = 17, nphotons = 100, cosz = -0.25, simulation time = 0.9903630256652832 minutes
numjob = 327, jobid = 476, nphotons = 100, cosz = -0.55, simulation time = 0.9901451388994853 minutes
numjob = 216, jobid = 296, nphotons = 100, cosz = -0.1, simulation time = 0.9901396036148071 minutes
numjob = 515, jobid = 772, nphotons = 100, cosz = -0.7, simulation time = 0.9905077815055847 minutes
numjob = 323, jobid = 472, nphotons = 100, cosz = -0.55, simulation time = 0.9903074940045674 minutes
numjob = 231, jobid = 311, nphotons = 100, cosz = -0.25, simulation time = 0.9903199394543966 minutes
numjob = 287, jobid = 402, nphotons = 100, cosz = -0.55, simulation time = 0.9903897245724996 minutes
numjob = 356, jobid = 538, nphotons = 100, cosz = -0.4, simulation time = 0.9901790897051493 minutes
numjob = 558, jobid = 839, nphotons = 100, cosz = -0.55, simulation time = 0.9902562061945598 minutes
numjob = 365, jobid = 547, nphotons = 100, cosz = -0.55, simulation time = 0.9902578433354695 minutes
numjob = 298, jobid = 447, nphotons = 100, cosz = -0.25, simulation time = 0.9905021588007609 minutes
numjob = 344, jobid = 526, nphotons = 100, cosz = -0.25, simulation time = 0.9904131611188253 minutes
numjob = 322, jobid = 471, nphotons = 100, cosz = -0.55, simulation time = 0.9896944204966227 minutes
numjob = 444, jobid = 677, nphotons = 100, cosz = -0.4, simulation time = 0.9902758240699768 minutes
numjob = 37, jobid = 37, nphotons = 100, cosz = -0.55, simulation time = 0.9903978188832601 minutes
numjob = 617, jobid = 952, nphotons = 100, cosz = -0.25, simulation time = 0.9902482827504476 minutes
numjob = 205, jobid = 269, nphotons = 100, cosz = -0.7, simulation time = 0.9903802792231242 minutes
numjob = 293, jobid = 410, nphotons = 100, cosz = -0.7, simulation time = 0.989785103003184 minutes
numjob = 590, jobid = 897, nphotons = 100, cosz = -0.4, simulation time = 0.9904153108596802 minutes
numjob = 190, jobid = 253, nphotons = 100, cosz = -0.55, simulation time = 0.9904078642527262 minutes
numjob = 262, jobid = 377, nphotons = 100, cosz = -0.25, simulation time = 0.9903672377268473 minutes
numjob = 415, jobid = 624, nphotons = 100, cosz = -0.7, simulation time = 0.9905640085538229 minutes
numjob = 446, jobid = 679, nphotons = 100, cosz = -0.4, simulation time = 0.9903974890708923 minutes
numjob = 576, jobid = 883, nphotons = 100, cosz = -0.25, simulation time = 0.9904674609502157 minutes
numjob = 542, jobid = 823, nphotons = 100, cosz = -0.4, simulation time = 0.9905962745348612 minutes
numjob = 31, jobid = 31, nphotons = 100, cosz = -0.4, simulation time = 0.9907200614611308 minutes
numjob = 417, jobid = 626, nphotons = 100, cosz = -0.7, simulation time = 0.9907718578974406 minutes
numjob = 580, jobid = 887, nphotons = 100, cosz = -0.25, simulation time = 0.9906101544698079 minutes
numjob = 76, jobid = 98, nphotons = 100, cosz = -0.4, simulation time = 0.9908132712046306 minutes
numjob = 410, jobid = 619, nphotons = 100, cosz = -0.55, simulation time = 0.9909034967422485 minutes
numjob = 343, jobid = 525, nphotons = 100, cosz = -0.25, simulation time = 0.9908803184827168 minutes
numjob = 520, jobid = 778, nphotons = 100, cosz = -0.7, simulation time = 0.9907194256782532 minutes
numjob = 453, jobid = 686, nphotons = 100, cosz = -0.55, simulation time = 0.9906069954236348 minutes
numjob = 572, jobid = 879, nphotons = 100, cosz = -0.25, simulation time = 0.9907648245493571 minutes
numjob = 121, jobid = 165, nphotons = 100, cosz = -0.25, simulation time = 0.9907361984252929 minutes
numjob = 623, jobid = 963, nphotons = 100, cosz = -0.4, simulation time = 0.9907916386922201 minutes
numjob = 398, jobid = 607, nphotons = 100, cosz = -0.4, simulation time = 0.9908866683642069 minutes
numjob = 169, jobid = 232, nphotons = 100, cosz = -0.25, simulation time = 0.990773332118988 minutes
numjob = 241, jobid = 321, nphotons = 100, cosz = -0.4, simulation time = 0.9908538301785786 minutes
numjob = 29, jobid = 29, nphotons = 100, cosz = -0.4, simulation time = 0.9909361799558004 minutes
numjob = 493, jobid = 750, nphotons = 100, cosz = -0.4, simulation time = 0.9907099366188049 minutes
numjob = 170, jobid = 233, nphotons = 100, cosz = -0.25, simulation time = 0.9908316055933635 minutes
numjob = 401, jobid = 610, nphotons = 100, cosz = -0.4, simulation time = 0.9910300572713217 minutes
numjob = 408, jobid = 617, nphotons = 100, cosz = -0.55, simulation time = 0.9911293307940165 minutes
numjob = 73, jobid = 95, nphotons = 100, cosz = -0.25, simulation time = 0.9910215139389038 minutes
numjob = 334, jobid = 516, nphotons = 100, cosz = -0.25, simulation time = 0.9911295692125957 minutes
numjob = 634, jobid = 974, nphotons = 100, cosz = -0.55, simulation time = 0.9910240689913432 minutes
numjob = 363, jobid = 545, nphotons = 100, cosz = -0.55, simulation time = 0.9910400946935017 minutes
numjob = 165, jobid = 228, nphotons = 100, cosz = -0.25, simulation time = 0.9909808874130249 minutes
